Unnamed: 0,id,GAME_DATE,SEASON_ID,TEAM_ABBREVIATION,FGM,FG_PCT,FG3M,FG3_PCT,FTM,FT_PCT,OREB,DREB,AST,TOV,PF,HOA,ENEMY,RATIO
0,0,20161025,22016,UTA,40,0.488,8,0.333,16,1.0,6,25,19,14,19,0,POR,0.458596566
1,0,20161025,22016,SAS,47,0.48,12,0.5,23,0.885,21,34,25,14,19,0,GSW,0.624638715
2,0,20161025,22016,NYK,32,0.368,9,0.333,15,0.75,13,29,17,18,22,0,CLE,0.361311996
3,0,20161025,22016,CLE,45,0.479,13,0.371,14,0.737,11,40,31,15,22,1,NYK,0.638688004
4,0,20161025,22016,GSW,40,0.471,7,0.212,13,0.722,8,27,24,16,19,1,SAS,0.375361285
5,0,20161025,22016,POR,39,0.52,13,0.684,22,1.0,5,29,22,13,18,1,UTA,0.541403434
6,0,20161026,22016,MIL,39,0.424,3,0.188,15,0.75,10,36,23,8,22,1,CHA,0.445971449
7,0,20161026,22016,NOP,38,0.413,3,0.158,23,0.885,5,28,31,11,29,1,DEN,0.476090239
8,0,20161026,22016,MEM,36,0.45,11,0.458,19,0.7040000000000001,11,34,19,13,25,1,MIN,0.5199920029999999
9,0,20161026,22016,TOR,41,0.477,3,0.16699999999999998,24,0.828,14,37,17,12,22,1,DET,0.589276857
10,0,20161026,22016,IND,47,0.505,10,0.526,26,0.765,8,44,30,16,23,1,DAL,0.5358105320000001
11,0,20161026,22016,ORL,34,0.382,6,0.333,22,0.7859999999999999,15,30,20,11,15,1,MIA,0.44137931
12,0,20161026,22016,BOS,48,0.539,11,0.344,15,0.833,12,35,36,19,20,1,BKN,0.52091135
13,0,20161026,22016,PHX,36,0.468,4,0.25,18,0.667,10,31,20,18,29,1,SAC,0.408979403
14,0,20161026,22016,PHI,36,0.429,7,0.292,18,0.72,5,38,21,14,22,1,OKC,0.470026976
15,0,20161026,22016,OKC,39,0.415,6,0.273,19,0.731,13,40,19,10,23,0,PHI,0.529973024
16,0,20161026,22016,SAC,44,0.512,6,0.28600000000000003,19,0.731,10,31,24,14,20,0,PHX,0.591020597
17,0,20161026,22016,BKN,43,0.443,15,0.341,16,0.8,15,29,22,16,19,0,BOS,0.47908865
18,0,20161026,22016,MIA,47,0.485,4,0.25,10,0.625,16,36,27,12,22,0,ORL,0.55862069
19,0,20161026,22016,CHA,40,0.449,7,0.304,20,0.833,11,40,27,10,22,0,MIL,0.554028551
20,0,20161026,22016,DAL,45,0.433,18,0.375,13,0.722,10,39,26,15,27,0,IND,0.464189468
21,0,20161026,22016,DET,35,0.417,4,0.182,17,0.773,8,32,17,14,24,0,TOR,0.410723143
