id,GAME_DATE,SEASON_ID,TEAM_ABBREVIATION_HOME,FGM_HOME,FG_PCT_HOME,FG3M_HOME,FG3_PCT_HOME,FTM_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,AST_HOME,TOV_HOME,PF_HOME,PTS_HOME,TEAM_ABBREVIATION_AWAY,FGM_AWAY,FG_PCT_AWAY,FG3M_AWAY,FG3_PCT_AWAY,FTM_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,AST_AWAY,TOV_AWAY,PF_AWAY,PTS_AWAY,ratio
14169,2018-02-09,22017,HOU,43.0,0.5,19.0,0.463,25.0,0.735,11.0,37.0,26.0,12.0,16.0,130,DEN,42.0,0.47700000000000004,3.0,0.107,17.0,0.81,7.0,32.0,25.0,10.0,20.0,104,0.6292149033463672
14193,2018-02-12,22017,BKN,41.0,0.461,12.0,0.3,7.0,0.7,10.0,27.0,27.0,13.0,15.0,101,LAC,48.0,0.565,6.0,0.375,12.0,0.857,8.0,35.0,19.0,15.0,14.0,114,0.4287495703913867
14173,2018-02-09,22017,ATL,37.0,0.446,16.0,0.364,17.0,0.895,6.0,36.0,20.0,12.0,18.0,107,CLE,46.0,0.535,15.0,0.429,16.0,0.667,6.0,37.0,31.0,9.0,17.0,123,0.4181743006147476
14172,2018-02-09,22017,UTA,41.0,0.488,10.0,0.345,14.0,0.8240000000000001,7.0,42.0,29.0,14.0,17.0,106,CHA,35.0,0.41200000000000003,9.0,0.375,15.0,0.789,5.0,28.0,17.0,7.0,18.0,94,0.5707084076360368
14171,2018-02-09,22017,DET,36.0,0.409,10.0,0.32299999999999995,13.0,0.765,7.0,33.0,22.0,9.0,16.0,95,LAC,42.0,0.462,10.0,0.333,14.0,0.9329999999999999,14.0,43.0,23.0,10.0,16.0,108,0.42458903681352217
14170,2018-02-09,22017,MIA,32.0,0.364,10.0,0.385,17.0,0.9440000000000001,13.0,38.0,16.0,16.0,21.0,91,MIL,32.0,0.42100000000000004,6.0,0.3,15.0,0.882,2.0,35.0,18.0,18.0,20.0,85,0.540325611057543
14168,2018-02-09,22017,BOS,34.0,0.382,7.0,0.259,16.0,0.8,12.0,26.0,16.0,10.0,21.0,91,IND,37.0,0.446,5.0,0.25,18.0,0.818,13.0,40.0,18.0,15.0,20.0,97,0.4622400344650064
14160,2018-02-08,22017,GSW,45.0,0.511,14.0,0.483,17.0,0.85,18.0,33.0,37.0,16.0,18.0,121,DAL,40.0,0.435,9.0,0.243,14.0,0.8240000000000001,9.0,25.0,19.0,12.0,16.0,103,0.5942868882169994
14166,2018-02-09,22017,PHI,39.0,0.419,14.0,0.412,8.0,0.889,8.0,50.0,26.0,16.0,16.0,100,NOP,33.0,0.34700000000000003,8.0,0.258,8.0,0.5,8.0,38.0,17.0,12.0,12.0,82,0.615461558185252
14165,2018-02-08,22017,TOR,43.0,0.45299999999999996,16.0,0.3720000000000001,11.0,0.7859999999999999,9.0,43.0,31.0,9.0,17.0,113,NYK,33.0,0.39799999999999996,7.0,0.259,15.0,0.833,5.0,38.0,19.0,16.0,15.0,88,0.6439662710623193
