Game,Time,Team,TEAM,ENEMY,FGM,FG_PCT,FG3M,FG3_PCT,FTM,FT_PCT,OREB,DREB,AST,TOV,PF,PTS
1,1,1,ATL,PHI,21.89,8.31,7.50,1.99,9.35,3.67,8.03,28.13,24.04,16.64,17.95,60.64
1,1,2,BOS,NOK,33.66,3.91,3.38,0.57,17.67,1.25,8.08,31.63,24.73,15.83,22.14,88.37
1,1,3,CHA,IND,38.86,-0.67,5.11,-0.04,17.29,1.25,11.76,33.55,24.10,17.28,21.73,100.12
1,1,4,CHI,MIA,39.06,3.93,6.08,-0.13,16.97,1.97,11.57,33.73,22.65,16.34,19.71,101.16
1,1,5,CLE,WAS,36.00,3.41,6.83,-0.39,16.75,1.19,11.11,33.05,23.72,13.74,19.79,95.59
1,1,6,DAL,SAS,35.74,3.15,6.26,0.64,16.19,2.75,11.16,31.71,21.96,14.14,20.75,93.92
1,1,7,DEN,LAC,36.52,2.05,8.19,-0.03,17.64,0.05,11.35,32.67,22.49,15.24,20.43,98.87
1,1,8,DET,MIL,35.52,2.57,8.93,-0.72,19.41,0.52,11.26,30.67,22.43,15.09,20.12,99.37
1,1,9,GSW,LAL,34.92,2.55,8.35,-0.02,20.48,0.82,11.78,31.19,22.85,15.58,21.51,98.68
1,1,10,HOU,UTA,33.56,2.19,9.42,-1.35,19.69,-0.15,12.13,31.77,23.50,13.93,22.16,96.23
1,1,11,IND,CHA,35.71,0.96,8.43,-0.81,20.79,-0.03,12.45,32.72,25.01,13.96,22.25,100.63
1,1,12,LAC,PHX,37.60,2.96,9.05,-0.57,20.19,0.50,13.22,32.92,22.75,14.47,21.91,104.44
1,1,13,LAL,PHX,37.43,3.54,8.29,-0.12,18.26,-0.17,12.81,35.14,24.89,15.26,22.33,101.40
1,1,14,MEM,NYK,35.97,1.31,6.90,0.10,19.41,-0.09,10.31,31.47,24.47,16.00,20.48,98.25
1,1,15,MIA,CHI,34.91,1.64,4.60,-0.59,15.66,0.45,8.88,31.47,21.19,14.86,19.71,90.09
1,1,16,MIL,DET,36.26,1.40,4.61,-0.68,13.94,0.13,7.96,30.76,22.23,13.47,20.18,91.08
1,1,17,MIN,SAC,37.01,1.80,4.00,-1.17,14.31,0.17,7.11,31.89,24.20,14.11,19.94,92.34
1,1,18,NJN,TOR,37.97,2.80,6.40,0.15,16.68,1.07,8.80,33.41,24.45,15.03,20.94,99.02
1,1,19,NOK,BOS,39.13,3.31,9.30,-0.99,17.87,0.97,10.22,35.27,24.75,15.62,22.33,105.43
1,1,20,NYK,MEM,39.19,3.16,9.73,-0.18,20.31,2.52,12.79,35.08,26.96,15.69,23.05,108.43
1,1,21,ORL,CHI,37.76,3.19,7.46,-0.91,20.69,1.09,11.84,32.84,23.64,14.14,21.26,103.68
1,1,22,PHI,ATL,37.15,3.55,7.97,-2.34,18.92,2.04,10.32,31.14,24.46,14.32,20.33,101.19
1,1,23,PHX,LAL,37.21,4.65,7.87,-0.32,16.98,1.36,12.16,31.30,25.82,14.51,22.06,99.26
1,1,24,POR,SEA,35.84,2.72,6.88,-2.01,18.01,1.22,11.02,31.79,22.70,14.74,20.84,96.56
1,1,25,SAC,MIN,34.44,0.93,6.72,-0.87,17.09,1.96,9.81,32.77,21.70,13.58,19.65,92.68
1,1,26,SAS,DAL,34.67,2.17,5.69,-0.53,18.56,1.25,10.19,32.36,21.72,13.02,20.13,93.59
1,1,27,SEA,POR,36.05,2.07,5.58,-0.56,16.19,1.22,10.63,31.45,23.17,15.31,21.09,93.87
1,1,28,TOR,NJN,38.02,2.89,4.43,0.83,14.01,-0.15,9.75,31.50,23.07,15.27,20.55,94.47
1,1,29,UTA,HOU,38.80,7.52,2.99,1.29,15.76,3.46,8.41,31.31,26.35,16.54,22.68,96.35
1,1,30,WAS,CLE,27.61,9.46,2.20,2.85,13.28,5.59,5.62,30.44,21.79,15.53,19.71,70.70
1,2,1,ATL,NYK,32.45,4.87,3.39,3.42,12.73,4.27,7.00,33.22,21.48,16.74,20.02,81.02
1,2,2,BOS,DET,39.47,1.88,9.82,1.42,16.81,2.08,8.13,38.61,22.62,13.90,20.47,105.58
1,2,3,CHA,MEM,37.95,0.13,7.31,1.38,17.27,2.26,10.30,34.42,23.99,15.73,21.41,100.47
1,2,4,CHI,ORL,35.06,0.75,6.18,-1.32,16.32,1.16,9.88,30.89,23.73,15.99,21.37,92.62
1,2,5,CLE,SAS,33.82,1.92,6.33,0.18,16.75,1.37,9.73,30.35,21.86,16.40,22.12,90.71
1,2,6,DAL,HOU,32.14,1.51,5.84,-0.06,16.58,1.31,9.69,31.88,21.28,13.70,20.20,86.70
1,2,7,DEN,MIN,35.73,1.55,6.81,-0.22,18.53,0.93,11.40,33.78,23.51,14.62,20.70,96.81
1,2,8,DET,BOS,35.14,1.43,6.43,-0.29,20.46,0.81,12.13,32.98,23.03,13.13,20.91,97.18
1,2,9,GSW,POR,34.05,1.74,5.85,0.20,20.33,0.62,12.97,32.53,21.50,15.96,20.91,94.28
1,2,10,HOU,DAL,34.36,1.67,7.40,-0.94,19.97,0.69,11.58,30.12,22.88,16.13,21.14,96.09
1,2,11,IND,NOK,35.12,0.94,7.52,0.70,19.46,1.57,11.48,30.66,23.21,15.61,22.82,97.21
1,2,12,LAC,DEN,36.54,0.84,6.45,-1.21,19.85,0.87,11.70,31.61,22.62,15.07,21.27,99.38
1,2,13,LAL,GSW,35.77,2.27,7.19,-0.08,19.71,1.73,12.20,32.64,24.87,15.44,22.73,98.44
1,2,14,MEM,CHA,34.62,0.82,7.85,0.08,19.91,1.98,12.83,30.38,22.78,15.18,22.97,97.00
1,2,15,MIA,NJN,35.32,1.72,7.29,-0.14,17.30,1.56,11.60,32.49,21.27,14.89,20.09,95.24
1,2,16,MIL,TOR,34.87,2.15,7.46,-0.27,15.91,1.97,10.55,32.07,21.96,14.61,20.47,93.10
1,2,17,MIN,DEN,35.18,-0.12,6.31,-0.49,17.85,0.96,10.76,32.83,23.38,13.87,21.62,94.52
1,2,18,NJN,MIA,33.13,0.14,5.83,-0.26,18.87,1.01,11.14,33.91,21.59,15.63,22.10,90.96
1,2,19,NOK,IND,33.72,0.82,6.02,-0.81,19.67,0.86,12.02,35.88,22.86,17.67,22.22,93.13
1,2,20,NYK,ATL,35.20,1.37,6.59,0.10,20.74,-0.03,11.85,35.65,24.50,17.53,22.69,97.73
1,2,21,ORL,PHI,35.41,0.58,6.11,-1.53,21.06,2.29,12.19,33.41,22.81,16.16,23.21,97.99
1,2,22,PHI,ORL,35.70,-0.06,7.43,-1.29,19.02,0.27,11.84,29.49,22.76,15.24,23.02,97.86
1,2,23,PHX,LAC,34.96,3.52,7.12,0.23,18.18,1.18,10.67,30.40,23.41,14.72,21.92,95.22
1,2,24,POR,GSW,33.30,1.41,6.75,-0.43,17.96,0.83,10.65,31.22,22.47,15.42,22.26,91.31
1,2,25,SAC,CHI,32.96,-0.09,6.24,0.66,18.99,0.18,11.20,31.18,21.53,17.61,20.15,91.15
1,2,26,SAS,CLE,34.71,1.35,7.57,-0.99,17.99,0.44,10.86,31.01,21.00,17.08,20.67,94.98
1,2,27,SEA,LAL,38.39,1.70,9.24,0.15,17.29,1.08,10.75,31.20,22.17,13.32,20.92,103.31
1,2,28,TOR,MIL,42.38,2.04,8.64,-0.46,16.05,0.19,10.34,32.67,22.59,13.68,21.49,109.45
1,2,29,UTA,PHX,41.66,4.94,4.89,0.36,16.75,2.23,11.26,31.74,26.76,13.83,24.87,104.97
1,2,30,WAS,BOS,32.85,6.33,6.13,2.23,10.58,1.65,10.18,29.10,22.09,18.63,19.03,82.42
1,3,1,ATL,ORL,36.62,4.39,7.25,2.37,15.70,3.03,9.36,30.88,24.43,16.43,18.39,96.18
1,3,2,BOS,WAS,40.41,-0.15,13.05,-0.09,18.05,-0.70,8.53,34.92,24.09,18.36,19.73,111.92
1,3,3,CHA,CLE,36.73,-0.53,8.99,-0.78,17.78,1.18,10.57,29.18,23.67,17.84,23.45,100.23
1,3,4,CHI,SAC,34.46,-0.45,6.74,-1.12,17.99,0.38,9.83,31.14,22.26,14.25,21.79,93.65
1,3,5,CLE,CHA,33.46,1.39,6.27,-1.21,17.52,0.80,10.52,30.15,20.28,13.63,21.52,90.70
1,3,6,DAL,GSW,35.28,-1.05,6.65,-0.97,17.39,0.97,10.85,29.72,20.21,15.21,20.40,94.60
1,3,7,DEN,NYK,36.10,-0.38,7.43,-0.91,19.00,0.31,11.24,30.38,23.38,14.92,20.65,98.63
1,3,8,DET,MEM,33.84,0.28,6.09,-0.83,17.48,0.97,11.25,28.86,23.70,14.82,21.66,91.24
1,3,9,GSW,UTA,33.74,-0.73,7.69,-0.85,16.87,1.20,11.62,30.91,21.97,13.88,20.15,92.05
1,3,10,HOU,NOK,36.26,-1.03,7.20,-1.19,16.22,1.29,11.89,31.20,23.65,12.82,22.05,95.93
1,3,11,IND,NYK,39.82,0.10,8.06,-0.51,18.15,0.87,11.36,31.17,22.95,11.67,22.09,105.85
